Loading pretrained word embeddings.
Loading pretrained word embeddings.
mm_batchgen...
Loading images...
Loading images takes: 7.33s

(10000, 32, 32, 3) (2000, 32, 32, 3)
Loading text...
Loading text takes: 10.07s

25000 25000
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
Step 308, 2-1, mm Loss: 0.113404, Accuracy:  93.750000 %
Step 309, 1-2, mm Loss: 0.128356, Accuracy:  75.000000 %
Step 310, 2-0, mm Loss: 0.179301, Accuracy:  68.750000 %
Step 311, 2-2, mm Loss: 0.063507, Accuracy:  56.250000 %
Step 312, 0-2, mm Loss: 0.212069, Accuracy:  50.000000 %
Step 313, 0-1, mm Loss: 0.286376, Accuracy:  43.750000 %
Step 314, 1-0, mm Loss: 0.289030, Accuracy:  50.000000 %
Step 315, 1-1, mm Loss: 0.201488, Accuracy:  62.500000 %
Step 316, 2-1, mm Loss: 0.124758, Accuracy:  62.500000 %
Step 317, 1-2, mm Loss: 0.139464, Accuracy:  50.000000 %
Step 318, 2-0, mm Loss: 0.223188, Accuracy:  50.000000 %
Step 319, 2-2, mm Loss: 0.065165, Accuracy:  62.500000 %
Step 320, 0-2, mm Loss: 0.214129, Accuracy:  31.250000 %
Step 321, 0-1, mm Loss: 0.273001, Accuracy:  62.500000 %
Step 322, 1-0, mm Loss: 0.241367, Accuracy:  81.250000 %
Step 323, 1-1, mm Loss: 0.196444, Accuracy:  62.500000 %
Step 324, 2-1, mm Loss: 0.131532, Accuracy:  56.250000 %
Step 325, 1-2, mm Loss: 0.113046, Accuracy:  62.500000 %
Step 326, 2-0, mm Loss: 0.199167, Accuracy:  62.500000 %
Step 327, 2-2, mm Loss: 0.073617, Accuracy:  37.500000 %
Step 328, 0-2, mm Loss: 0.207929, Accuracy:  56.250000 %
Step 329, 0-1, mm Loss: 0.270516, Accuracy:  62.500000 %
Step 330, 1-0, mm Loss: 0.245230, Accuracy:  81.250000 %
Step 331, 1-1, mm Loss: 0.190260, Accuracy:  68.750000 %
Step 332, 2-1, mm Loss: 0.133784, Accuracy:  43.750000 %
Step 333, 1-2, mm Loss: 0.129290, Accuracy:  50.000000 %
Step 334, 2-0, mm Loss: 0.190321, Accuracy:  56.250000 %
Step 335, 2-2, mm Loss: 0.067891, Accuracy:  50.000000 %
Step 336, 0-2, mm Loss: 0.208125, Accuracy:  50.000000 %
Step 337, 0-1, mm Loss: 0.315278, Accuracy:  31.250000 %
Step 338, 1-0, mm Loss: 0.241528, Accuracy:  75.000000 %
Step 339, 1-1, mm Loss: 0.190979, Accuracy:  56.250000 %
Step 340, 2-1, mm Loss: 0.114687, Accuracy:  93.750000 %
Step 341, 1-2, mm Loss: 0.138265, Accuracy:  56.250000 %
